OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,225559,274509,185473,153292,105473
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,195675,244164,164917,135009,85662
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,225576,319293,203953,164803,110290
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,183017,242475,155661,126533,95254
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,192516,255029,169950,137327,99144
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,157840,217666,135271,108470,79741
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,186441,231248,158319,125755,89800
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,159350,257698,172752,132766,103594
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,220116,267646,181222,149686,103263
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,194680,242669,164335,134332,85378
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,220968,312505,199976,161406,108248
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,181356,240107,154393,125436,94432
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,190478,251920,168659,135843,97936
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,159281,219284,136851,109524,80512
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,181239,224438,154327,122312,87328
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,157448,253984,171120,131072,102463
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,218144,264866,180038,148457,102479
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,195329,243015,165360,134863,85629
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,218794,308933,198463,159794,107154
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,179247,236985,153006,124017,93132
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,189246,249875,167867,134960,98015
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,159928,219584,137709,110269,81779
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,180647,223208,154153,122076,87864
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,154429,247855,167895,128624,101319
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,217538,263617,179958,148310,103072
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,192277,238656,163211,132950,84972
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,218413,307456,198426,159753,107875
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,177559,234135,151843,123171,93082
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,188786,248210,167645,135389,98992
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,160142,219643,138057,110432,82536
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,177871,219602,151866,120209,87085
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,160524,257154,174655,133714,105437
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,218717,264830,181096,149176,104329
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,188315,233591,159875,130322,83821
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,217718,305772,197994,159390,108443
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,175138,230645,149917,121601,92547
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,187299,245924,166283,134549,99087
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,159605,218879,137540,110061,82943
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,175263,216406,149521,118313,86507
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,160856,257932,174823,133917,106130
